Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51260604,149.71770000,149.87640000,149.44300000,150.88350000
-0.50860604,149.83370000,150.11440000,149.80310000,150.51730000
-0.50460604,149.60170000,150.22430000,149.86420000,150.26700000
-0.50060604,149.02190000,150.23040000,149.63840000,150.10830000
-0.49660604,148.96080000,150.10830000,149.62610000,150.10220000
-0.49260604,149.41860000,149.88250000,149.79100000,150.29760000
-0.48860604,149.64450000,149.76650000,150.02900000,150.06560000
-0.48460604,149.62610000,149.77870000,150.34030000,149.44300000
-0.48060604,149.85200000,149.83980000,150.30360000,149.25990000
-0.47660604,150.30360000,149.95570000,149.90690000,149.51020000
-0.47260604,150.29760000,150.01680000,149.80310000,149.85200000
-0.46860604,149.84590000,150.01680000,149.99850000,150.27310000
-0.46460604,149.62610000,149.94960000,149.82760000,150.29760000
-0.46060604,149.62610000,149.79700000,149.29650000,149.90690000
-0.45660604,149.83980000,149.91910000,149.29650000,149.68720000
-0.45260604,150.28530000,150.32200000,149.82150000,149.63840000
-0.44860604,150.34030000,150.28530000,150.03510000,149.76040000
-0.44460604,149.99850000,149.82150000,149.95570000,150.05950000
-0.44060604,149.88250000,149.72990000,149.79100000,150.21210000
-0.43660604,149.99850000,150.02290000,149.51020000,150.20600000
-0.43260604,149.88860000,150.05950000,149.66280000,150.07170000
-0.42860604,149.55290000,149.85810000,150.27310000,149.77870000
-0.42460604,149.55290000,149.80310000,150.25480000,149.93130000
-0.42060604,149.87640000,149.91300000,149.61390000,150.51730000
-0.41660604,150.03510000,149.76040000,149.30270000,150.61500000
-0.41260604,150.01680000,149.33930000,149.31480000,150.23040000
-0.40860604,149.94960000,149.47970000,149.55900000,149.95570000
-0.40460604,149.83370000,150.15110000,150.04730000,149.79700000
-0.40060604,149.77870000,150.51120000,150.19380000,149.78480000
-0.39660604,149.80310000,150.54780000,149.97410000,149.94350000
-0.39260604,149.74210000,150.35860000,149.84590000,149.91300000
-0.38860604,149.61390000,149.92520000,149.79100000,149.69330000
-0.38460604,149.61390000,149.80310000,149.82760000,149.75430000
-0.38060604,149.74210000,150.01680000,149.96800000,150.09000000
-0.37660604,149.80930000,150.13890000,149.94960000,150.12050000
-0.37260604,149.80930000,150.16940000,149.77870000,149.83980000
-0.36860604,149.74210000,150.22430000,149.60170000,149.77260000
-0.36460604,149.60170000,150.29760000,149.43080000,149.92520000
-0.36060604,149.62610000,150.23650000,149.40640000,149.96190000
-0.35660604,149.79100000,150.04120000,149.53460000,149.89470000
-0.35260604,149.99850000,150.04120000,149.62000000,149.83370000
-0.34860604,150.24260000,150.25480000,149.65060000,149.76650000
-0.34460604,150.23040000,150.25480000,149.76650000,149.79100000
-0.34060604,149.94350000,150.06560000,149.95570000,149.90690000
-0.33660604,149.98020000,149.97410000,149.95570000,150.03510000
-0.33260604,150.35860000,149.97410000,149.76650000,150.17550000
-0.32860604,150.21210000,150.07170000,149.65060000,150.04730000
-0.32460604,149.56510000,150.27930000,149.60170000,149.64450000
-0.32060604,149.40640000,150.19380000,149.59560000,149.65060000
-0.31660604,149.72990000,149.80930000,149.62610000,150.07170000
-0.31260604,150.04120000,149.68720000,149.84590000,150.09610000
-0.30860604,150.33420000,149.83370000,150.25480000,149.70550000
-0.30460604,150.32200000,149.93130000,150.09610000,149.85200000
