Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50873474,149.77260000,150.06560000,149.78480000,150.82860000
-0.50473474,149.77870000,149.90690000,149.31480000,150.02290000
-0.50073474,149.79700000,149.97410000,149.21720000,149.71160000
-0.49673474,149.80930000,150.26090000,149.49800000,149.88250000
-0.49273474,150.07780000,150.16330000,149.61390000,150.04730000
-0.48873474,150.60270000,149.67500000,149.57120000,150.21210000
-0.48473474,150.54170000,149.76040000,149.65670000,150.27930000
-0.48073474,149.88860000,150.43180000,149.83980000,150.25480000
-0.47673474,149.67500000,150.52340000,149.89470000,149.98630000
-0.47273474,149.91910000,150.05340000,149.80930000,149.50410000
-0.46873474,149.99240000,149.83980000,149.80310000,149.35150000
-0.46473474,149.90690000,149.86420000,149.87030000,149.54070000
-0.46073474,149.90080000,149.96190000,149.90080000,149.81540000
-0.45673474,149.96190000,150.15110000,149.88250000,150.16940000
-0.45273474,150.02290000,150.15720000,149.93740000,150.25480000
-0.44873474,150.07170000,149.97410000,150.07170000,150.05340000
-0.44473474,150.10220000,149.82760000,150.07170000,149.90690000
-0.44073474,150.10830000,149.70550000,149.94960000,149.82150000
-0.43673474,150.04730000,149.73600000,149.85810000,149.68110000
-0.43273474,149.91300000,149.89470000,149.80930000,149.49800000
-0.42873474,149.92520000,150.13280000,149.77870000,149.49800000
-0.42473474,150.09000000,150.43790000,149.76650000,149.68720000
-0.42073474,149.97410000,150.43790000,149.86420000,149.79700000
-0.41673474,149.57730000,150.13890000,150.07170000,149.82760000
-0.41273474,149.54680000,149.87640000,150.01070000,149.93740000
-0.40873474,149.88250000,149.65670000,149.67500000,150.12050000
-0.40473474,150.00460000,149.59560000,149.61390000,150.15110000
-0.40073474,149.90080000,149.69940000,149.80310000,150.02290000
-0.39673474,149.93130000,149.96800000,149.98020000,149.93740000
-0.39273474,150.08390000,150.40740000,150.12670000,149.90690000
-0.38873474,149.99240000,150.40130000,150.24870000,149.79700000
-0.38473474,149.64450000,149.93740000,150.34640000,149.63840000
-0.38073474,149.68110000,149.78480000,150.10830000,149.48580000
-0.37673474,150.10220000,149.92520000,149.54680000,149.35150000
-0.37273474,150.11440000,150.07780000,149.40640000,149.47360000
-0.36873474,149.72380000,150.26090000,149.69330000,149.85810000
-0.36473474,149.51020000,150.25480000,149.82150000,149.93740000
-0.36073474,149.46130000,150.06560000,149.80310000,149.69330000
-0.35673474,149.58340000,149.97410000,149.76040000,149.76650000
-0.35273474,149.89470000,149.98020000,149.66890000,150.12670000
-0.34873474,150.02290000,150.04730000,149.82150000,150.34030000
-0.34473474,149.98630000,150.18770000,150.21210000,150.40130000
-0.34073474,149.67500000,150.09000000,150.21820000,150.24870000
-0.33673474,149.08290000,149.72380000,149.85200000,149.88250000
-0.33273474,149.14400000,149.87640000,149.57120000,149.74820000
-0.32873474,149.84590000,150.54170000,149.36980000,149.89470000
-0.32473474,150.17550000,150.57830000,149.57730000,149.69330000
-0.32073474,150.13890000,149.98630000,150.18160000,149.18060000
-0.31673474,149.99850000,149.77870000,150.47450000,149.11950000
-0.31273474,149.71770000,149.95570000,150.43180000,149.48580000
-0.30873474,149.82150000,149.97410000,150.33420000,149.80930000
-0.30473474,150.31590000,149.85810000,150.15110000,150.06560000
-0.30073474,150.23650000,149.73600000,150.10220000,150.22430000
