Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51180517,149.97410000,149.89470000,149.62000000,148.95470000
-0.50780517,149.92520000,149.87640000,149.65670000,149.45520000
-0.50380517,149.80930000,149.93740000,149.71770000,149.74820000
-0.49980517,149.61390000,150.07780000,149.79700000,149.80930000
-0.49580517,149.62610000,150.01680000,149.69940000,149.91300000
-0.49180517,149.84590000,149.76650000,149.43080000,150.01070000
-0.48780517,149.81540000,149.66890000,149.45520000,150.10220000
-0.48380517,149.52850000,149.72380000,149.77870000,150.17550000
-0.47980517,149.54680000,149.89470000,149.90080000,150.05340000
-0.47580517,149.84590000,150.18160000,149.83370000,149.74210000
-0.47180517,150.09000000,150.32200000,149.71160000,149.64450000
-0.46780517,150.29140000,150.27930000,149.52850000,149.76040000
-0.46380517,150.13280000,150.34640000,149.48580000,150.01070000
-0.45980517,149.61390000,150.53560000,149.57730000,150.38300000
-0.45580517,149.53460000,150.24260000,149.87640000,150.37690000
-0.45180517,149.90080000,149.49190000,150.38300000,149.98020000
-0.44780517,149.90080000,149.32710000,150.36470000,149.85810000
-0.44380517,149.54070000,149.77260000,149.79100000,150.01070000
-0.43980517,149.60170000,149.83980000,149.82760000,150.07170000
-0.43580517,150.07780000,149.52240000,150.48070000,150.05340000
-0.43180517,150.07780000,149.61390000,150.40130000,150.08390000
-0.42780517,149.58340000,150.07780000,149.60780000,150.15720000
-0.42380517,149.58340000,150.46240000,149.39420000,150.09610000
-0.41980517,150.05950000,150.76750000,149.75430000,149.90690000
-0.41580517,150.12050000,150.62720000,149.93740000,149.88250000
-0.41180517,149.76040000,150.05950000,149.96800000,150.02290000
-0.40780517,149.75430000,149.52240000,150.01680000,150.04730000
-0.40380517,150.10220000,149.02800000,150.07170000,149.96800000
-0.39980517,150.13890000,149.24770000,150.07780000,149.99240000
-0.39580517,149.87640000,150.19990000,150.02900000,150.13280000
-0.39180517,149.72990000,150.49290000,149.91300000,150.10830000
-0.38780517,149.70550000,150.11440000,149.73600000,149.92520000
-0.38380517,149.65670000,149.96190000,149.67500000,149.83980000
-0.37980517,149.60170000,150.02900000,149.74210000,149.87640000
-0.37580517,149.53460000,149.83370000,149.83980000,149.79100000
-0.37180517,149.42470000,149.38810000,149.96800000,149.59560000
-0.36780517,149.69330000,149.35150000,149.93740000,149.58950000
-0.36380517,150.34030000,149.72380000,149.72990000,149.77260000
-0.35980517,150.35860000,150.01680000,149.69330000,149.93130000
-0.35580517,149.72990000,150.20600000,149.81540000,150.06560000
-0.35180517,149.66890000,150.34640000,149.97410000,149.94350000
-0.34780517,150.18160000,150.41960000,150.18770000,149.55900000
-0.34380517,150.16330000,150.27310000,150.03510000,149.47360000
-0.33980517,149.63840000,149.91910000,149.52240000,149.69940000
-0.33580517,149.48580000,149.71770000,149.40640000,149.73600000
-0.33180517,149.71770000,149.67500000,149.67500000,149.60170000
-0.32780517,149.75430000,149.74210000,149.86420000,149.52850000
-0.32380517,149.61390000,149.92520000,149.99240000,149.50410000
-0.31980517,149.58340000,150.01680000,149.88250000,149.67500000
-0.31580517,149.65060000,150.03510000,149.53460000,150.02290000
-0.31180517,149.70550000,149.84590000,149.26600000,150.22430000
-0.30780517,149.73600000,149.43690000,149.09510000,150.26090000
-0.30380517,149.84590000,149.55900000,149.15010000,150.23650000
