Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51431925,149.58950000,149.81540000,150.01680000,150.02900000
-0.51031925,149.75430000,150.15110000,149.37590000,149.83370000
-0.50631925,149.75430000,150.40740000,149.19280000,149.71160000
-0.50231925,149.58340000,150.56000000,149.47360000,149.63840000
-0.49831925,149.70550000,150.57220000,149.66280000,149.75430000
-0.49431925,150.10220000,150.43180000,149.76040000,150.02290000
-0.49031925,150.13280000,150.40130000,149.79100000,150.31590000
-0.48631925,149.80930000,150.48070000,149.72990000,150.59660000
-0.48231925,149.63220000,150.49900000,149.63220000,150.64550000
-0.47831925,149.62610000,150.48680000,149.48580000,150.45630000
-0.47431925,149.47970000,150.19990000,149.60780000,150.31590000
-0.47031925,149.21110000,149.66890000,149.98020000,150.24260000
-0.46631925,149.29650000,149.47360000,150.10220000,150.04120000
-0.46231925,149.72990000,149.64450000,149.96800000,149.73600000
-0.45831925,149.96190000,149.68110000,149.80930000,149.69940000
-0.45431925,149.98630000,149.58340000,149.62610000,149.93130000
-0.45031925,149.98020000,149.68720000,149.62610000,150.22430000
-0.44631925,149.91300000,149.97410000,149.79700000,150.57830000
-0.44231925,149.88250000,150.18160000,150.01070000,150.63940000
-0.43831925,149.90080000,150.29760000,150.25480000,150.41350000
-0.43431925,149.85200000,150.19990000,150.21820000,150.08390000
-0.43031925,149.76650000,149.87030000,149.89470000,149.68720000
-0.42631925,149.56510000,149.85200000,149.77870000,149.54680000
-0.42231925,149.25990000,150.13280000,149.89470000,149.70550000
-0.41831925,149.20500000,150.49290000,149.82760000,149.76650000
-0.41431925,149.40640000,150.92010000,149.63220000,149.72380000
-0.41031925,149.52240000,150.88960000,149.29650000,149.87640000
-0.40631925,149.52850000,150.41350000,148.83880000,150.20600000
-0.40231925,149.69940000,150.00460000,148.99140000,150.16940000
-0.39831925,149.99850000,149.68110000,149.78480000,149.75430000
-0.39431925,150.08390000,149.63840000,149.93130000,149.74820000
-0.39031925,149.93130000,149.91300000,149.42470000,150.14500000
-0.38631925,149.90690000,150.00460000,149.32100000,150.26700000
-0.38231925,150.02900000,149.91300000,149.58340000,150.10220000
-0.37831926,149.82150000,149.90080000,149.76650000,150.09000000
-0.37431926,149.29050000,149.94350000,149.87640000,150.20600000
-0.37031926,149.29650000,150.09610000,149.86420000,150.34030000
-0.36631926,149.83980000,150.33420000,149.71770000,150.50510000
-0.36231926,149.95570000,150.37080000,149.73600000,150.27310000
-0.35831926,149.61390000,150.19380000,149.91300000,149.66890000
-0.35431926,149.75430000,149.98630000,150.05950000,149.40030000
-0.35031926,150.35860000,149.76650000,150.17550000,149.49190000
-0.34631926,150.37690000,149.68720000,150.14500000,149.65060000
-0.34231926,149.80310000,149.77870000,149.95570000,149.87640000
-0.33831926,149.82760000,149.77870000,149.90080000,150.02290000
-0.33431926,150.45010000,149.71160000,150.01680000,150.07170000
-0.33031926,150.51730000,149.71160000,149.83370000,150.00460000
-0.32631926,150.04730000,149.79700000,149.35150000,149.80930000
-0.32231926,149.83370000,149.72990000,149.49800000,149.77260000
-0.31831926,149.85810000,149.50410000,150.27930000,149.88860000
-0.31431926,149.95570000,149.63840000,150.46850000,150.07170000
-0.31031926,150.15110000,150.12050000,150.05950000,150.32810000
-0.30631926,150.15720000,150.37080000,149.77870000,150.29760000
