Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51280099,149.93130000,150.19380000,150.40740000,149.72990000
-0.50880099,149.72380000,149.86420000,149.94350000,149.85810000
-0.50480099,149.75430000,149.87030000,149.76650000,150.15110000
-0.50080099,150.01680000,150.21820000,149.88250000,150.59660000
-0.49680099,150.07780000,150.25480000,149.82760000,150.52950000
-0.49280099,149.93130000,149.99240000,149.60780000,149.93740000
-0.48880099,149.90690000,149.82760000,149.69330000,149.74820000
-0.48480099,150.01070000,149.71770000,150.07780000,149.94350000
-0.48080099,149.87030000,150.07780000,150.19990000,150.22430000
-0.47680099,149.50410000,150.92010000,150.05340000,150.58440000
-0.47280099,149.34540000,150.92620000,149.96190000,150.60880000
-0.46880099,149.39420000,150.09610000,149.94350000,150.28530000
-0.46480099,149.66890000,149.66890000,149.80310000,150.14500000
-0.46080099,150.16940000,149.64450000,149.58340000,150.23040000
-0.45680099,150.23040000,149.83980000,149.42470000,149.96800000
-0.45280099,149.83980000,150.28530000,149.32100000,149.38810000
-0.44880099,149.60780000,150.34030000,149.62000000,149.36370000
-0.44480099,149.54070000,150.01070000,150.29760000,149.91300000
-0.44080099,149.39420000,149.84590000,150.50510000,150.04120000
-0.43680099,149.16840000,149.83980000,150.24260000,149.75430000
-0.43280099,149.37590000,150.03510000,149.93740000,149.64450000
-0.42880099,150.02290000,150.43180000,149.60170000,149.69940000
-0.42480099,150.14500000,150.37080000,149.47360000,149.87030000
-0.42080099,149.72990000,149.84590000,149.57730000,150.15720000
-0.41680099,149.50410000,149.69330000,149.55900000,150.32810000
-0.41280099,149.43690000,149.91300000,149.43690000,150.37690000
-0.40880099,149.65060000,150.04730000,149.33930000,150.31590000
-0.40480099,150.14500000,150.10220000,149.24770000,150.12050000
-0.40080099,150.28530000,150.02900000,149.44910000,150.06560000
-0.39680099,150.05950000,149.80930000,149.92520000,150.15110000
-0.39280099,149.99240000,149.93130000,150.16330000,150.16330000
-0.38880099,150.09000000,150.40130000,150.13890000,150.12050000
-0.38480099,150.02900000,150.40130000,150.01070000,149.96190000
-0.38080099,149.82760000,149.94350000,149.75430000,149.68720000
-0.37680100,149.85200000,149.76650000,149.72990000,149.82150000
-0.37280100,150.10830000,149.87030000,149.93130000,150.38300000
-0.36880100,150.23040000,149.87640000,149.99850000,150.26700000
-0.36480100,150.22430000,149.78480000,149.92520000,149.46130000
-0.36080100,150.13890000,149.90080000,149.87640000,149.33320000
-0.35680100,149.99850000,150.23040000,149.84590000,149.83980000
-0.35280100,149.72990000,150.23650000,149.67500000,150.23650000
-0.34880100,149.35150000,149.93130000,149.38810000,150.49900000
-0.34480100,149.39420000,149.68110000,149.25990000,150.56000000
-0.34080100,149.85810000,149.47360000,149.29050000,150.40740000
-0.33680100,149.98020000,149.71770000,149.59560000,150.05340000
-0.33280100,149.76040000,150.43180000,150.16330000,149.52850000
-0.32880100,149.65670000,150.48680000,150.21210000,149.32710000
-0.32480100,149.65060000,149.88250000,149.72990000,149.48580000
-0.32080100,149.77870000,149.65670000,149.59560000,149.62000000
-0.31680100,150.05340000,149.79700000,149.80310000,149.73600000
-0.31280100,149.99850000,150.04730000,149.96800000,149.72380000
-0.30880100,149.62610000,150.43790000,150.10220000,149.55290000
-0.30480100,149.41250000,150.37080000,149.98630000,149.69330000
