Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51315051,149.74820000,150.16330000,149.54680000,149.92520000
-0.50915051,150.41350000,150.45010000,149.73600000,149.85810000
-0.50515051,150.57830000,150.41960000,149.79100000,149.92520000
-0.50115051,150.27930000,150.09610000,149.69330000,150.12050000
-0.49715051,149.85200000,150.00460000,149.74820000,150.14500000
-0.49315051,149.29650000,150.15720000,149.93130000,149.98630000
-0.48915051,149.31480000,150.16330000,150.01680000,150.04730000
-0.48515051,149.93130000,150.01070000,150.01070000,150.32200000
-0.48115051,150.02900000,150.07170000,149.94350000,150.29760000
-0.47715051,149.60170000,150.34030000,149.79700000,149.99850000
-0.47315051,149.50410000,150.34030000,149.88860000,149.76040000
-0.46915051,149.71770000,150.06560000,150.21820000,149.60170000
-0.46515051,149.81540000,150.02900000,150.24870000,149.58950000
-0.46115051,149.79700000,150.20600000,149.98020000,149.76650000
-0.45715051,149.79700000,150.38910000,149.88860000,149.61390000
-0.45315051,149.80930000,150.58440000,149.97410000,149.13780000
-0.44915051,149.74820000,150.49290000,149.98020000,149.20500000
-0.44515051,149.63220000,150.12050000,149.91910000,149.79700000
-0.44115051,149.54070000,149.97410000,149.88860000,149.93740000
-0.43715051,149.46740000,150.07170000,149.88860000,149.59560000
-0.43315051,149.58340000,150.08390000,149.91910000,149.71160000
-0.42915051,149.87030000,150.02900000,149.99240000,150.25480000
-0.42515051,150.07780000,149.95570000,149.93130000,150.25480000
-0.42115051,150.19380000,149.85810000,149.73600000,149.71160000
-0.41715051,150.10830000,150.05950000,149.73600000,149.57730000
-0.41315051,149.82760000,150.57220000,149.92520000,149.83980000
-0.40915051,149.56510000,150.62720000,150.01070000,150.08390000
-0.40515051,149.34540000,150.22430000,149.98630000,150.30980000
-0.40115051,149.28430000,150.07780000,150.01680000,150.35860000
-0.39715051,149.36980000,150.19380000,150.07170000,150.21210000
-0.39315051,149.69330000,150.11440000,150.10830000,150.17550000
-0.38915051,150.23650000,149.86420000,150.12050000,150.26090000
-0.38515051,150.37690000,149.80930000,150.02290000,150.23040000
-0.38115051,150.08390000,149.95570000,149.79700000,150.10830000
-0.37715051,149.99240000,149.98630000,149.94350000,150.05950000
-0.37315051,150.12050000,149.88250000,150.46240000,150.10220000
-0.36915051,149.91300000,149.99850000,150.55390000,149.94350000
-0.36515051,149.38810000,150.30980000,150.21820000,149.59560000
-0.36115051,149.41860000,150.37080000,150.04730000,149.72990000
-0.35715051,150.00460000,150.18160000,150.05340000,150.35860000
-0.35315051,150.23040000,150.03510000,149.85810000,150.28530000
-0.34915051,150.10830000,149.95570000,149.51020000,149.51630000
-0.34515051,149.80310000,149.81540000,149.33320000,149.18060000
-0.34115051,149.32710000,149.63840000,149.33930000,149.25380000
-0.33715051,149.17450000,149.60780000,149.50410000,149.56510000
-0.33315051,149.36370000,149.72380000,149.82760000,150.14500000
-0.32915051,149.63840000,149.88860000,149.80930000,150.12670000
-0.32515051,149.97410000,150.07780000,149.42470000,149.47360000
-0.32115051,150.11440000,150.33420000,149.57120000,149.55900000
-0.31715051,150.03510000,150.63940000,150.23040000,150.38300000
-0.31315051,149.94960000,150.60880000,150.32200000,150.43790000
-0.30915051,149.87640000,150.23040000,149.83980000,149.73600000
-0.30515051,149.63840000,150.05340000,149.67500000,149.63840000
