Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50940933,150.09610000,149.83980000,149.41860000,149.87030000
-0.50540933,150.02290000,149.96190000,149.59560000,149.58340000
-0.50140933,149.96800000,149.98630000,149.80310000,149.69940000
-0.49740933,149.93740000,149.89470000,150.02290000,150.21820000
-0.49340933,149.79100000,149.95570000,150.10830000,150.36470000
-0.48940933,149.54680000,150.16940000,150.04120000,150.13890000
-0.48540933,149.52240000,150.11440000,149.92520000,150.04120000
-0.48140933,149.73600000,149.81540000,149.76040000,150.05950000
-0.47740933,149.76650000,149.60170000,149.63840000,150.05950000
-0.47340933,149.62610000,149.46740000,149.54070000,150.04120000
-0.46940933,149.58950000,149.68110000,149.77870000,150.14500000
-0.46540933,149.66890000,150.24870000,150.35250000,150.37690000
-0.46140933,149.66890000,150.32200000,150.44400000,150.19380000
-0.45740933,149.58340000,149.87640000,150.06560000,149.60170000
-0.45340933,149.64450000,149.93130000,149.76040000,149.54680000
-0.44940933,149.83980000,150.48680000,149.52850000,150.02290000
-0.44540933,149.87030000,150.46850000,149.57120000,150.17550000
-0.44140933,149.72380000,149.90080000,149.91910000,149.99240000
-0.43740933,149.68720000,149.59560000,149.91300000,150.04730000
-0.43340933,149.74210000,149.55900000,149.53460000,150.32810000
-0.42940933,149.86420000,149.71160000,149.64450000,150.26090000
-0.42540933,150.05950000,150.06560000,150.22430000,149.82760000
-0.42140933,150.02900000,150.24870000,150.40130000,149.90690000
-0.41740933,149.77260000,150.25480000,150.18770000,150.49290000
-0.41340933,149.65670000,150.04730000,150.02900000,150.66990000
-0.40940933,149.68110000,149.62000000,149.92520000,150.42570000
-0.40540933,149.69330000,149.50410000,149.90690000,150.42570000
-0.40140933,149.71770000,149.69940000,150.01070000,150.66990000
-0.39740933,149.58950000,149.88250000,149.86420000,150.51120000
-0.39340933,149.30870000,150.05340000,149.45520000,150.00460000
-0.38940933,149.42470000,150.07170000,149.51630000,149.53460000
-0.38540933,149.92520000,149.93130000,150.02900000,149.11950000
-0.38140933,150.12670000,149.89470000,150.21210000,149.22940000
-0.37740933,150.01070000,149.94960000,150.04120000,149.90690000
-0.37340933,150.03510000,150.07170000,150.00460000,149.96190000
-0.36940933,150.19380000,150.26090000,150.10220000,149.38200000
-0.36540933,150.08390000,150.25480000,150.02900000,149.36370000
-0.36140933,149.72990000,150.06560000,149.81540000,149.87640000
-0.35740933,149.49190000,149.97410000,149.55290000,150.15110000
-0.35340933,149.38200000,149.97410000,149.27210000,150.18770000
-0.34940933,149.45520000,150.05340000,149.18060000,150.08390000
-0.34540933,149.72380000,150.20600000,149.29650000,149.80310000
-0.34140933,149.74820000,150.41350000,149.54070000,149.87030000
-0.33740933,149.51630000,150.65770000,149.91910000,150.29140000
-0.33340933,149.57120000,150.60270000,149.88250000,150.26090000
-0.32940933,149.89470000,150.25480000,149.39420000,149.78480000
-0.32540933,149.98630000,149.96800000,149.38200000,149.71160000
-0.32140933,149.82760000,149.76650000,149.82150000,150.04730000
-0.31740933,149.82760000,149.65670000,150.10220000,150.23040000
-0.31340933,149.99850000,149.65670000,150.23650000,150.28530000
-0.30940933,149.84590000,149.77260000,149.98020000,150.18160000
-0.30540933,149.36980000,149.97410000,149.31480000,149.89470000
-0.30140933,149.43080000,150.23040000,149.35150000,149.99240000
