Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50961302,149.64450000,150.19380000,149.94960000,150.40130000
-0.50561302,150.18770000,150.22430000,149.83980000,150.26090000
-0.50161302,150.15720000,150.09000000,149.75430000,150.04730000
-0.49761302,149.57730000,149.77870000,149.70550000,149.74210000
-0.49361302,149.33320000,150.07170000,149.70550000,149.68720000
-0.48961302,149.44300000,150.96900000,149.75430000,149.88250000
-0.48561302,149.50410000,151.08490000,149.84590000,150.04120000
-0.48161302,149.52850000,150.40740000,149.97410000,150.16330000
-0.47761303,149.69940000,150.16940000,149.94350000,150.09610000
-0.47361303,149.99240000,150.37690000,149.74210000,149.83370000
-0.46961303,150.11440000,150.30980000,149.71770000,149.76650000
-0.46561303,150.05950000,150.02290000,149.85810000,149.89470000
-0.46161303,149.88250000,149.78480000,149.88860000,150.04730000
-0.45761303,149.59560000,149.59560000,149.80930000,150.22430000
-0.45361303,149.43080000,149.72380000,149.80310000,150.24870000
-0.44961303,149.40030000,150.15720000,149.85810000,150.11440000
-0.44561303,149.34540000,150.33420000,149.94350000,150.04730000
-0.44161303,149.25380000,150.26090000,150.04730000,150.05340000
-0.43761303,149.41860000,150.07780000,150.12670000,150.09000000
-0.43361303,149.82760000,149.76650000,150.16330000,150.14500000
-0.42961303,150.09000000,149.73600000,150.25480000,150.18160000
-0.42561303,150.19380000,149.99240000,150.40740000,150.19990000
-0.42161303,150.12050000,150.16940000,150.26700000,150.09000000
-0.41761303,149.86420000,150.26700000,149.86420000,149.85810000
-0.41361303,149.80310000,150.29760000,149.57730000,149.68720000
-0.40961303,149.93130000,150.24870000,149.43080000,149.59560000
-0.40561303,150.05950000,150.09610000,149.38200000,149.54070000
-0.40161303,150.19380000,149.83370000,149.43690000,149.52850000
-0.39761303,150.10220000,149.90080000,149.58340000,149.65060000
-0.39361303,149.79100000,150.31590000,149.82760000,149.90690000
-0.38961303,149.66890000,150.28530000,149.87640000,149.93130000
-0.38561303,149.76040000,149.82150000,149.71770000,149.72380000
-0.38161303,149.79700000,149.72990000,149.74210000,149.64450000
-0.37761303,149.77870000,150.02290000,149.91910000,149.66890000
-0.37361303,149.83370000,150.05950000,150.04120000,149.95570000
-0.36961303,149.95570000,149.85810000,150.10220000,150.48070000
-0.36561303,149.98630000,149.79100000,150.04120000,150.74920000
-0.36161303,149.92520000,149.86420000,149.87030000,150.74310000
-0.35761303,149.83370000,149.91910000,149.71770000,150.49900000
-0.35361303,149.71160000,149.96190000,149.59560000,150.01680000
-0.34961303,149.71770000,150.04120000,149.66890000,149.84590000
-0.34561303,149.87640000,150.13890000,149.95570000,150.01070000
-0.34161303,149.82760000,150.25480000,149.86420000,150.08390000
-0.33761303,149.62000000,150.37690000,149.38810000,150.08390000
-0.33361303,149.32100000,150.35250000,149.38810000,150.02290000
-0.32961303,148.96690000,150.17550000,149.86420000,149.88860000
-0.32561303,148.93030000,150.02290000,149.95570000,149.88250000
-0.32161303,149.22330000,149.89470000,149.64450000,149.96800000
-0.31761303,149.55290000,149.98630000,149.67500000,150.25480000
-0.31361303,149.90080000,150.30360000,150.02290000,150.77360000
-0.30961303,149.94350000,150.40130000,150.01070000,150.40740000
-0.30561303,149.63840000,150.28530000,149.62000000,149.18060000
-0.30161303,149.65670000,150.04120000,149.80930000,148.94250000
