Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50959305,150.15720000,150.43180000,149.72380000,150.58440000
-0.50559305,149.95570000,150.18770000,149.43690000,150.48070000
-0.50159305,149.87030000,150.04120000,149.46740000,150.17550000
-0.49759305,149.90080000,149.99850000,149.79100000,149.68110000
-0.49359305,149.85200000,150.02900000,149.90080000,149.62610000
-0.48959305,149.76040000,150.14500000,149.78480000,150.02900000
-0.48559305,149.57730000,150.23650000,149.89470000,150.22430000
-0.48159305,149.32100000,150.30980000,150.21820000,150.23040000
-0.47759305,149.38200000,150.21210000,150.25480000,150.01680000
-0.47359305,149.76650000,149.94350000,150.01070000,149.59560000
-0.46959305,149.91300000,149.98020000,149.79700000,149.44300000
-0.46559305,149.81540000,150.32810000,149.63840000,149.58340000
-0.46159305,149.79700000,150.30360000,149.58340000,149.76040000
-0.45759305,149.83980000,149.91300000,149.63220000,149.96800000
-0.45359305,149.98630000,149.79100000,149.80930000,150.14500000
-0.44959305,150.24870000,149.91910000,150.11440000,150.26090000
-0.44559305,150.21210000,150.11440000,150.16940000,150.19380000
-0.44159305,149.87640000,150.39520000,149.97410000,149.93740000
-0.43759305,149.82760000,150.17550000,149.85200000,149.87640000
-0.43359305,150.07170000,149.43690000,149.80930000,150.02290000
-0.42959305,149.95570000,149.49800000,149.77870000,150.05340000
-0.42559305,149.50410000,150.35250000,149.77870000,149.95570000
-0.42159305,149.41860000,150.56610000,149.82150000,150.06560000
-0.41759305,149.71160000,150.12050000,149.91300000,150.37080000
-0.41359305,149.77870000,150.02290000,149.78480000,150.49290000
-0.40959305,149.65060000,150.27310000,149.44910000,150.44400000
-0.40559305,149.52240000,150.18160000,149.47970000,150.23040000
-0.40159305,149.40030000,149.75430000,149.88250000,149.87030000
-0.39759305,149.43080000,149.83980000,149.97410000,149.76040000
-0.39359305,149.61390000,150.43180000,149.76650000,149.91300000
-0.38959305,149.73600000,150.58440000,149.66280000,149.97410000
-0.38559305,149.79700000,150.32810000,149.63840000,149.92520000
-0.38159305,149.72990000,150.05340000,149.83980000,150.10830000
-0.37759305,149.52240000,149.75430000,150.24870000,150.52950000
-0.37359306,149.55290000,149.76650000,150.45630000,150.37690000
-0.36959306,149.83980000,150.10220000,150.45010000,149.66280000
-0.36559306,149.80930000,150.16330000,150.27310000,149.49190000
-0.36159306,149.46130000,149.93740000,149.92520000,149.87640000
-0.35759306,149.42470000,149.96190000,149.71770000,149.90690000
-0.35359306,149.68110000,150.24870000,149.67500000,149.60170000
-0.34959306,149.87640000,150.21820000,149.77260000,149.67500000
-0.34559306,150.01070000,149.88250000,150.02290000,150.09610000
-0.34159306,149.84590000,149.82150000,150.09000000,150.36470000
-0.33759306,149.37590000,150.02900000,149.98020000,150.45010000
-0.33359306,149.41250000,150.12050000,149.77260000,150.43790000
-0.32959306,149.96190000,150.11440000,149.48580000,150.30360000
-0.32559306,149.99850000,150.04730000,149.35760000,150.27930000
-0.32159306,149.51020000,149.90080000,149.40030000,150.37080000
-0.31759306,149.41860000,149.99240000,149.67500000,150.31590000
-0.31359306,149.71770000,150.33420000,150.16940000,150.14500000
-0.30959306,149.75430000,150.30360000,150.24870000,149.99240000
-0.30559306,149.54070000,149.91910000,149.90080000,149.87030000
-0.30159306,149.50410000,149.77260000,149.77260000,149.93740000
