Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51586066,149.55900000,149.98020000,150.04120000,149.66280000
-0.51186066,149.23550000,149.85810000,149.79100000,149.77870000
-0.50786066,149.25990000,149.73600000,149.63840000,149.99240000
-0.50386066,149.62000000,149.62000000,149.57730000,150.30360000
-0.49986066,149.94960000,149.61390000,149.66890000,150.30360000
-0.49586066,150.24870000,149.72380000,149.91300000,149.99240000
-0.49186066,150.18160000,149.89470000,150.01070000,149.77870000
-0.48786066,149.72990000,150.12050000,149.94960000,149.66280000
-0.48386066,149.54680000,150.21210000,149.79100000,149.76040000
-0.47986066,149.62610000,150.17550000,149.52240000,150.08390000
-0.47586066,149.77870000,149.93740000,149.61390000,150.13890000
-0.47186066,150.02290000,149.50410000,150.06560000,149.90690000
-0.46786066,150.08390000,149.44300000,150.18160000,149.93130000
-0.46386066,149.96190000,149.77260000,149.96800000,150.21820000
-0.45986066,149.80930000,149.95570000,149.87030000,150.18770000
-0.45586066,149.62610000,149.98630000,149.88250000,149.85810000
-0.45186066,149.60170000,150.00460000,149.91300000,149.75430000
-0.44786066,149.72990000,149.99240000,149.96190000,149.85200000
-0.44386066,149.84590000,150.01680000,150.02290000,150.18770000
-0.43986066,149.95570000,150.05950000,150.09000000,150.74920000
-0.43586066,149.99850000,150.13890000,150.05950000,150.77360000
-0.43186066,149.95570000,150.23040000,149.92520000,150.24260000
-0.42786066,150.11440000,150.41350000,149.93740000,150.03510000
-0.42386066,150.48070000,150.71870000,150.12050000,150.16330000
-0.41986066,150.26700000,150.42570000,149.91300000,150.09610000
-0.41586066,149.48580000,149.55900000,149.35150000,149.85200000
-0.41186066,149.36370000,149.29650000,149.19890000,149.69940000
-0.40786066,149.89470000,149.67500000,149.46740000,149.60780000
-0.40386066,150.18160000,149.82760000,149.68720000,149.85810000
-0.39986066,150.22430000,149.77260000,149.84590000,150.43180000
-0.39586066,150.09610000,149.87640000,149.89470000,150.48680000
-0.39186066,149.80310000,150.09610000,149.82150000,149.98630000
-0.38786066,149.62000000,150.26700000,149.76650000,149.92520000
-0.38386066,149.55900000,150.38300000,149.74210000,150.28530000
-0.37986066,149.69330000,150.34640000,149.59560000,150.31590000
-0.37586066,150.03510000,150.16940000,149.35150000,150.02290000
-0.37186066,149.97410000,150.05950000,149.32100000,150.05340000
-0.36786066,149.52240000,150.02900000,149.51630000,150.41960000
-0.36386066,149.37590000,149.94960000,149.63220000,150.33420000
-0.35986066,149.54070000,149.82760000,149.66890000,149.80930000
-0.35586066,149.57120000,149.80310000,149.72380000,149.68720000
-0.35186066,149.46740000,149.86420000,149.78480000,149.95570000
-0.34786066,149.60780000,149.91910000,149.74820000,150.13280000
-0.34386066,149.98020000,149.94960000,149.60170000,150.20600000
-0.33986066,150.09000000,150.08390000,149.66280000,150.35860000
-0.33586066,149.92520000,150.29140000,149.92520000,150.56610000
-0.33186066,149.91910000,150.49290000,149.95570000,150.45010000
-0.32786066,150.06560000,150.65770000,149.74820000,150.01680000
-0.32386066,150.04120000,150.66380000,149.71770000,149.79700000
-0.31986066,149.85200000,150.51120000,149.87030000,149.79700000
-0.31586066,149.79700000,150.22430000,149.83980000,150.04120000
-0.31186066,149.90080000,149.82760000,149.61390000,150.54170000
-0.30786066,149.78480000,149.66280000,149.69940000,150.62720000
