Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51137723,149.62000000,150.09610000,149.46130000,149.74210000
-0.50737723,149.81540000,149.66890000,149.45520000,149.75430000
-0.50337723,149.93740000,149.72380000,149.57730000,149.75430000
-0.49937723,149.99240000,150.25480000,149.80930000,149.74210000
-0.49537723,149.96190000,150.35860000,149.92520000,149.80310000
-0.49137723,149.83980000,150.04120000,149.90690000,149.93130000
-0.48737723,149.76040000,149.76650000,149.86420000,149.95570000
-0.48337723,149.74210000,149.52240000,149.78480000,149.87640000
-0.47937723,149.56510000,149.62000000,149.88250000,149.90080000
-0.47537723,149.24770000,150.06560000,150.18160000,150.02900000
-0.47137723,149.25990000,150.18770000,150.00460000,150.05340000
-0.46737723,149.62000000,149.98020000,149.34540000,149.96190000
-0.46337723,149.58950000,149.82150000,149.27820000,150.05340000
-0.45937723,149.18060000,149.66890000,149.78480000,150.31590000
-0.45537723,149.13780000,149.85810000,150.11440000,150.32810000
-0.45137723,149.44300000,150.37080000,150.25480000,150.10220000
-0.44737723,149.69940000,150.42570000,150.30980000,149.80310000
-0.44337723,149.87030000,149.98630000,150.27310000,149.43080000
-0.43937723,150.16330000,149.98020000,150.04120000,149.44300000
-0.43537723,150.55390000,150.37080000,149.63220000,149.83980000
-0.43137723,150.42570000,150.51120000,149.45520000,149.98020000
-0.42737723,149.79100000,150.38300000,149.52850000,149.85200000
-0.42337723,149.55900000,150.52950000,149.67500000,149.98020000
-0.41937723,149.75430000,150.96280000,149.88860000,150.33420000
-0.41537723,149.73600000,150.79810000,150.09000000,150.54780000
-0.41137723,149.51630000,150.07780000,150.26700000,150.62100000
-0.40737723,149.56510000,149.63220000,150.23650000,150.40740000
-0.40337723,149.87640000,149.47360000,149.98020000,149.90690000
-0.39937723,150.04730000,149.67500000,149.87030000,149.77260000
-0.39537723,150.07170000,150.26090000,149.91910000,150.02900000
-0.39137723,150.12050000,150.27930000,149.80930000,149.96800000
-0.38737723,150.17550000,149.68720000,149.55290000,149.60780000
-0.38337723,150.20600000,149.79700000,149.52240000,149.69940000
-0.37937723,150.22430000,150.57830000,149.70550000,150.22430000
-0.37537724,150.11440000,150.76140000,149.86420000,150.35250000
-0.37137724,149.88860000,150.34640000,150.01680000,150.08390000
-0.36737724,149.71160000,150.12670000,149.82760000,149.87030000
-0.36337724,149.59560000,150.09000000,149.30270000,149.69940000
-0.35937724,149.63840000,150.13280000,149.28430000,149.71160000
-0.35537724,149.86420000,150.25480000,149.77260000,149.93740000
-0.35137724,149.77260000,150.32200000,149.83370000,149.87640000
-0.34737724,149.34540000,150.35860000,149.44910000,149.52850000
-0.34337724,149.43080000,150.12050000,149.49190000,149.56510000
-0.33937724,149.99850000,149.62000000,149.90690000,149.99850000
-0.33537724,150.26700000,149.55900000,150.26090000,149.90690000
-0.33137724,150.25480000,149.94350000,150.54780000,149.29650000
-0.32737724,150.05950000,150.19380000,150.51120000,149.25380000
-0.32337724,149.67500000,150.32200000,150.13890000,149.76040000
-0.31937724,149.63840000,150.13890000,149.90690000,150.09610000
-0.31537724,149.94350000,149.63220000,149.83370000,150.26090000
-0.31137724,150.21820000,149.53460000,149.75430000,150.16330000
-0.30737724,150.46240000,149.83370000,149.68720000,149.77870000
-0.30337724,150.40740000,150.19380000,149.76040000,149.66280000
