Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51151164,149.58950000,149.66890000,149.85200000,149.33320000
-0.50751164,150.05340000,149.60780000,149.72990000,150.14500000
-0.50351164,150.15110000,149.57120000,149.64450000,150.30360000
-0.49951164,149.89470000,149.53460000,149.57730000,149.82150000
-0.49551164,149.68720000,149.74210000,149.65060000,149.57120000
-0.49151164,149.53460000,150.16940000,149.87030000,149.54070000
-0.48751164,149.44910000,150.24870000,149.76040000,149.61390000
-0.48351164,149.43080000,149.96800000,149.34540000,149.81540000
-0.47951164,149.61390000,149.90690000,149.08900000,149.80310000
-0.47551164,149.98630000,150.05950000,149.00970000,149.54680000
-0.47151164,150.04120000,150.05950000,148.94250000,149.74820000
-0.46751164,149.74210000,149.91910000,148.86930000,150.38300000
-0.46351164,149.74820000,149.90690000,149.28430000,150.52950000
-0.45951164,150.04730000,150.01070000,150.13890000,150.16940000
-0.45551164,149.96190000,150.22430000,150.37080000,150.04120000
-0.45151164,149.52240000,150.57220000,149.96190000,150.12670000
-0.44751164,149.33930000,150.38910000,149.65670000,150.17550000
-0.44351164,149.41250000,149.68720000,149.45520000,150.20600000
-0.43951164,149.58950000,149.50410000,149.33930000,150.01680000
-0.43551164,149.87640000,149.84590000,149.31480000,149.61390000
-0.43151164,150.02900000,150.09610000,149.55290000,149.71160000
-0.42751164,150.04120000,150.27930000,150.04120000,150.34030000
-0.42351164,149.82760000,150.15110000,150.18770000,150.30360000
-0.41951164,149.40640000,149.69330000,149.98630000,149.60780000
-0.41551164,149.25990000,149.66890000,149.77870000,149.57730000
-0.41151164,149.41860000,150.07780000,149.56510000,150.20600000
-0.40751164,149.51630000,150.16940000,149.41860000,150.26700000
-0.40351164,149.56510000,149.96800000,149.33930000,149.76040000
-0.39951164,149.55900000,149.83370000,149.55290000,149.74820000
-0.39551164,149.47970000,149.74210000,150.05340000,150.19990000
-0.39151164,149.53460000,149.96190000,150.13890000,150.41350000
-0.38751164,149.71770000,150.50510000,149.77870000,150.38300000
-0.38351164,149.79700000,150.41350000,149.71160000,150.31590000
-0.37951164,149.76650000,149.68110000,149.93740000,150.20600000
-0.37551165,149.82150000,149.52240000,149.94350000,150.12050000
-0.37151165,149.94350000,149.91910000,149.72380000,150.05950000
-0.36751165,149.97410000,150.23040000,149.72380000,150.10220000
-0.36351165,149.91300000,150.47450000,149.92520000,150.25480000
-0.35951165,149.84590000,150.34030000,149.99240000,150.16330000
-0.35551165,149.76650000,149.82150000,149.93740000,149.83370000
-0.35151165,149.86420000,149.72380000,149.77870000,149.80930000
-0.34751165,150.14500000,150.04120000,149.51020000,150.10220000
-0.34351165,150.05950000,150.32200000,149.60780000,150.07780000
-0.33951165,149.60170000,150.56610000,150.07780000,149.75430000
-0.33551165,149.51020000,150.46850000,150.11440000,149.63220000
-0.33151165,149.77870000,150.01680000,149.71770000,149.70550000
-0.32751165,149.93740000,149.90690000,149.53460000,149.83370000
-0.32351165,149.99850000,150.15110000,149.54680000,150.02900000
-0.31951165,149.90080000,150.09000000,149.66890000,149.99240000
-0.31551165,149.63840000,149.72990000,149.91300000,149.72380000
-0.31151165,149.61390000,149.85200000,149.99850000,149.66280000
-0.30751165,149.83370000,150.45630000,149.93130000,149.80930000
-0.30351165,149.83370000,150.48070000,149.80310000,149.87030000
