Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50883959,149.58340000,149.90690000,149.52240000,150.14500000
-0.50483959,149.46740000,149.84590000,149.55900000,150.01070000
-0.50083959,149.62610000,149.74210000,149.63220000,149.94960000
-0.49683959,150.07170000,149.63220000,149.72380000,149.94960000
-0.49283959,150.15720000,149.57730000,149.90690000,150.01680000
-0.48883959,149.86420000,149.58340000,150.19990000,150.15720000
-0.48483959,149.82760000,149.61390000,149.96190000,150.09610000
-0.48083959,150.03510000,149.65670000,149.19280000,149.82760000
-0.47683959,150.07780000,149.74210000,149.05240000,149.79700000
-0.47283959,149.97410000,149.86420000,149.55900000,150.00460000
-0.46883959,149.76040000,149.89470000,149.65670000,150.06560000
-0.46483959,149.43690000,149.83370000,149.34540000,149.98020000
-0.46083959,149.47360000,149.74820000,149.36370000,150.00460000
-0.45683959,149.85810000,149.64450000,149.68110000,150.15110000
-0.45283959,150.04120000,149.55290000,149.82150000,150.11440000
-0.44883959,150.02290000,149.47970000,149.77870000,149.90080000
-0.44483959,149.93130000,149.58340000,149.85810000,149.91910000
-0.44083959,149.76040000,149.83370000,150.05340000,150.15720000
-0.43683959,149.63840000,150.21210000,150.06560000,150.37080000
-0.43283959,149.58340000,150.68820000,149.91300000,150.56610000
-0.42883959,149.62000000,150.70650000,149.60780000,150.45010000
-0.42483959,149.75430000,150.24870000,149.16840000,150.02290000
-0.42083959,149.77870000,150.07780000,149.21110000,149.78480000
-0.41683959,149.67500000,150.23650000,149.76650000,149.75430000
-0.41283959,149.79100000,149.98020000,149.79700000,149.80310000
-0.40883959,150.11440000,149.34540000,149.28430000,149.95570000
-0.40483959,150.14500000,149.29050000,149.29650000,149.89470000
-0.40083959,149.85810000,149.82150000,149.79100000,149.63840000
-0.39683959,149.83370000,150.03510000,150.12670000,149.54680000
-0.39283959,150.05950000,149.91300000,150.29760000,149.60780000
-0.38883959,149.99240000,149.92520000,150.16940000,149.76040000
-0.38483959,149.62610000,150.02900000,149.71160000,150.00460000
-0.38083959,149.74820000,150.16940000,149.62000000,150.02290000
-0.37683959,150.36470000,150.32810000,149.88860000,149.79100000
-0.37283959,150.36470000,150.44400000,150.04730000,149.85200000
-0.36883959,149.74820000,150.49900000,150.09000000,150.18770000
-0.36483959,149.62000000,150.46850000,150.08390000,150.22430000
-0.36083959,149.94960000,150.36470000,150.03510000,149.96800000
-0.35683959,150.19380000,150.21210000,149.91300000,149.79100000
-0.35283959,150.36470000,150.02900000,149.69940000,149.69940000
-0.34883959,150.37080000,150.06560000,149.83980000,149.63840000
-0.34483959,150.23040000,150.32810000,150.34030000,149.60170000
-0.34083959,149.85810000,150.36470000,150.15720000,149.83370000
-0.33683959,149.29050000,150.18770000,149.27210000,150.31590000
-0.33283959,149.00970000,150.01680000,149.26600000,150.48680000
-0.32883959,149.05850000,149.89470000,150.13890000,150.32200000
-0.32483959,149.10120000,149.66280000,150.38910000,150.27310000
-0.32083959,149.13780000,149.35150000,150.01680000,150.35250000
-0.31683959,149.24160000,149.37590000,149.86420000,149.99850000
-0.31283959,149.36980000,149.73600000,149.92520000,149.22330000
-0.30883959,149.65670000,150.02290000,149.78480000,149.23550000
-0.30483959,150.05340000,150.23650000,149.48580000,150.07170000
-0.30083959,150.24870000,150.27310000,149.37590000,150.13280000
