Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.50934956,150.32200000,149.88860000,149.88250000,149.78480000
-0.50534956,149.90080000,149.99240000,150.02290000,150.24870000
-0.50134956,149.83370000,150.26700000,149.80310000,150.33420000
-0.49734956,150.10830000,150.71260000,149.19280000,150.03510000
-0.49334956,150.19990000,150.68210000,149.24770000,150.02900000
-0.48934956,150.10830000,150.16330000,149.96190000,150.31590000
-0.48534956,150.10830000,149.98630000,150.24260000,150.29760000
-0.48134956,150.19990000,150.16940000,150.09000000,149.97410000
-0.47734956,150.12050000,150.12050000,149.86420000,149.82760000
-0.47334956,149.90080000,149.84590000,149.54680000,149.85810000
-0.46934956,149.69330000,149.87640000,149.59560000,149.85810000
-0.46534956,149.53460000,150.21210000,150.03510000,149.83980000
-0.46134956,149.48580000,150.26090000,149.91300000,149.93130000
-0.45734956,149.55900000,150.01680000,149.20500000,150.13890000
-0.45334956,149.58950000,150.12670000,149.29050000,150.10830000
-0.44934956,149.58950000,150.56000000,150.13890000,149.85200000
-0.44534956,149.55290000,150.71260000,150.40740000,149.72990000
-0.44134956,149.45520000,150.57830000,150.08390000,149.76040000
-0.43734956,149.63220000,150.40130000,150.00460000,149.73600000
-0.43334956,150.09000000,150.19380000,150.15110000,149.66280000
-0.42934956,150.12050000,150.02290000,150.19990000,149.71770000
-0.42534956,149.72380000,149.93130000,150.18160000,149.91300000
-0.42134956,149.53460000,149.87640000,149.91910000,149.96800000
-0.41734956,149.56510000,149.87640000,149.43690000,149.88860000
-0.41334956,149.60170000,149.93740000,149.29050000,149.84590000
-0.40934956,149.65060000,150.05950000,149.51020000,149.81540000
-0.40534956,149.73600000,150.09610000,149.63840000,149.99850000
-0.40134956,149.85810000,150.03510000,149.69330000,150.37080000
-0.39734956,149.87640000,149.93740000,149.65060000,150.43180000
-0.39334956,149.79100000,149.76650000,149.50410000,150.18160000
-0.38934956,149.85200000,149.99850000,149.56510000,149.96190000
-0.38534956,150.04730000,150.63940000,149.82150000,149.76650000
-0.38134956,150.04730000,150.73090000,149.88250000,149.90080000
-0.37734956,149.84590000,150.28530000,149.74210000,150.38910000
-0.37334957,149.82150000,149.94960000,149.68110000,150.30360000
-0.36934957,150.01070000,149.71770000,149.70550000,149.64450000
-0.36534957,149.80930000,149.82150000,149.64450000,149.49190000
-0.36134957,149.22330000,150.29760000,149.50410000,149.84590000
-0.35734957,149.16840000,150.29760000,149.55900000,149.99850000
-0.35334957,149.64450000,149.82150000,149.79100000,149.93130000
-0.34934957,149.79700000,149.72380000,149.98020000,150.10830000
-0.34534957,149.63840000,150.01070000,150.13280000,150.51120000
-0.34134957,149.56510000,150.10830000,149.88250000,150.41960000
-0.33734957,149.56510000,150.02290000,149.22330000,149.82150000
-0.33334957,149.62000000,149.98630000,149.22940000,149.69940000
-0.32934957,149.72380000,149.97410000,149.93130000,150.04730000
-0.32534957,149.87640000,150.06560000,150.00460000,150.20600000
-0.32134957,150.05950000,150.25480000,149.46740000,150.16330000
-0.31734957,150.02900000,150.25480000,149.24770000,150.20600000
-0.31334957,149.77260000,150.05950000,149.33930000,150.31590000
-0.30934957,149.66280000,149.99240000,149.43080000,150.43790000
-0.30534957,149.70550000,150.04730000,149.52850000,150.59050000
-0.30134957,149.62610000,150.16940000,149.66890000,150.40740000
