Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51034217,149.72990000,149.57730000,149.82760000,149.74210000
-0.50634217,149.57730000,149.87030000,149.98630000,150.05340000
-0.50234217,149.70550000,150.10830000,149.90080000,150.23040000
-0.49834217,150.12050000,150.28530000,149.58950000,150.26700000
-0.49434217,150.05340000,150.18160000,149.47360000,150.23040000
-0.49034217,149.47970000,149.76650000,149.54680000,150.10220000
-0.48634217,149.56510000,149.82760000,149.63840000,150.07780000
-0.48234217,150.30980000,150.38910000,149.76040000,150.17550000
-0.47834217,150.38910000,150.35860000,149.78480000,150.09610000
-0.47434217,149.79700000,149.73600000,149.69940000,149.85200000
-0.47034217,149.84590000,149.69940000,149.72380000,149.70550000
-0.46634217,150.52340000,150.24260000,149.82760000,149.66890000
-0.46234217,150.61500000,150.37080000,149.97410000,149.68110000
-0.45834217,150.13280000,150.09000000,150.15110000,149.76650000
-0.45434217,150.00460000,149.97410000,150.18770000,149.66280000
-0.45034217,150.22430000,150.01680000,150.10830000,149.34540000
-0.44634217,150.30360000,149.93740000,149.77870000,149.60780000
-0.44234217,150.25480000,149.77870000,149.22940000,150.42570000
-0.43834217,150.09000000,149.60170000,149.11950000,150.66380000
-0.43434217,149.82760000,149.40640000,149.44910000,150.30980000
-0.43034217,149.54070000,149.49800000,149.68720000,150.09610000
-0.42634217,149.24770000,149.87640000,149.82150000,150.01680000
-0.42234217,149.22940000,150.02290000,149.95570000,149.90690000
-0.41834217,149.50410000,149.91910000,150.05340000,149.80310000
-0.41434217,149.56510000,149.91300000,150.13280000,149.74210000
-0.41034217,149.40030000,149.99240000,150.16940000,149.74820000
-0.40634217,149.45520000,149.96190000,150.23650000,149.77870000
-0.40234217,149.71160000,149.82150000,150.35860000,149.82150000
-0.39834217,149.79700000,149.84590000,150.06560000,149.93740000
-0.39434217,149.71770000,150.03510000,149.38200000,150.12050000
-0.39034217,149.67500000,150.09000000,149.20500000,150.14500000
-0.38634217,149.65670000,149.98020000,149.55900000,149.98020000
-0.38234217,149.77870000,150.12670000,149.77870000,150.06560000
-0.37834217,150.03510000,150.52340000,149.88860000,150.41350000
-0.37434218,150.02900000,150.48680000,149.82760000,150.35860000
-0.37034218,149.75430000,150.02290000,149.57730000,149.91300000
-0.36634218,149.71160000,149.92520000,149.45520000,149.69940000
-0.36234218,149.88860000,150.20600000,149.46130000,149.71770000
-0.35834218,150.12670000,150.34030000,149.55290000,149.84590000
-0.35434218,150.43180000,150.35250000,149.72380000,150.07780000
-0.35034218,150.43180000,150.15720000,149.83370000,150.23040000
-0.34634218,150.13280000,149.76650000,149.86420000,150.32200000
-0.34234218,149.86420000,149.46130000,149.95570000,150.07780000
-0.33834218,149.62610000,149.25380000,150.12050000,149.52850000
-0.33434218,149.65670000,149.54680000,149.90690000,149.35150000
-0.33034218,149.96800000,150.34640000,149.31480000,149.57120000
-0.32634218,150.15720000,150.63330000,149.31480000,149.72380000
-0.32234218,150.22430000,150.40130000,149.93130000,149.80310000
-0.31834218,150.07170000,150.21210000,150.05340000,149.94960000
-0.31434218,149.69940000,150.06560000,149.68110000,150.13280000
-0.31034218,149.57120000,149.95570000,149.63840000,150.12050000
-0.30634218,149.69940000,149.91300000,149.90690000,149.89470000
-0.30234218,149.91910000,149.88250000,150.00460000,149.94960000
