Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51379702,150.16330000,149.51020000,149.47970000,149.94350000
-0.50979702,150.03510000,149.69940000,149.48580000,149.35150000
-0.50579702,149.94960000,149.83980000,149.47360000,149.41860000
-0.50179702,149.91300000,149.91300000,149.47970000,150.13280000
-0.49779702,149.83370000,150.10830000,149.47360000,150.37690000
-0.49379702,149.72380000,150.40740000,149.43690000,150.13280000
-0.48979702,149.66890000,150.46850000,149.61390000,150.05950000
-0.48579702,149.68720000,150.29140000,150.00460000,150.13280000
-0.48179702,149.65670000,150.05950000,149.99850000,150.16940000
-0.47779702,149.57730000,149.78480000,149.58950000,150.17550000
-0.47379702,149.62610000,149.65060000,149.49190000,150.11440000
-0.46979702,149.77870000,149.67500000,149.67500000,149.99850000
-0.46579702,150.01680000,149.69940000,149.91300000,149.93740000
-0.46179702,150.32810000,149.71770000,150.19380000,149.94350000
-0.45779702,150.28530000,149.92520000,150.29760000,149.97410000
-0.45379702,149.88250000,150.29140000,150.20600000,150.02290000
-0.44979702,149.81540000,150.34030000,150.19990000,150.12050000
-0.44579702,150.08390000,150.04120000,150.27310000,150.26700000
-0.44179702,150.24260000,150.05950000,150.27310000,150.15720000
-0.43779702,150.32810000,150.37080000,150.21820000,149.81540000
-0.43379702,150.11440000,150.55390000,150.16330000,149.49190000
-0.42979702,149.60170000,150.62720000,150.13280000,149.19890000
-0.42579702,149.55290000,150.45630000,149.98630000,149.24160000
-0.42179702,149.96800000,150.06560000,149.74210000,149.63840000
-0.41779702,150.06560000,149.74820000,149.71770000,149.74210000
-0.41379703,149.84590000,149.53460000,149.93130000,149.53460000
-0.40979703,149.77870000,149.51630000,149.97410000,149.73600000
-0.40579703,149.86420000,149.71770000,149.87030000,150.29760000
-0.40179703,149.87640000,149.80310000,149.65060000,150.44400000
-0.39779703,149.83370000,149.77260000,149.29650000,150.14500000
-0.39379703,149.68720000,149.82760000,149.47970000,150.07170000
-0.38979703,149.44910000,149.94960000,150.19380000,150.23040000
-0.38579703,149.36370000,149.98020000,150.35250000,150.23650000
-0.38179703,149.43690000,149.90690000,149.95570000,150.10220000
-0.37779703,149.52240000,149.89470000,149.65060000,150.05340000
-0.37379703,149.60170000,149.94350000,149.41860000,150.10830000
-0.36979703,149.79700000,150.06560000,149.45520000,149.90080000
-0.36579703,150.06560000,150.26700000,149.77870000,149.43690000
-0.36179703,150.26700000,150.17550000,149.89470000,149.47360000
-0.35779703,150.39520000,149.78480000,149.79700000,149.99850000
-0.35379703,150.27930000,149.72990000,149.82760000,150.14500000
-0.34979703,149.93740000,150.01070000,149.98630000,149.88250000
-0.34579703,149.63840000,150.06560000,149.86420000,149.99850000
-0.34179703,149.40640000,149.88250000,149.46740000,150.47450000
-0.33779703,149.47360000,150.02290000,149.46740000,150.40740000
-0.33379703,149.87030000,150.45630000,149.86420000,149.79100000
-0.32979703,149.96190000,150.60880000,149.98020000,149.76040000
-0.32579703,149.74210000,150.48680000,149.80310000,150.33420000
-0.32179703,149.66890000,150.24260000,149.86420000,150.37080000
-0.31779703,149.71770000,149.89470000,150.15110000,149.88250000
-0.31379703,149.89470000,149.77870000,150.05950000,149.79100000
-0.30979703,150.19380000,149.91300000,149.57120000,150.09000000
-0.30579703,150.28530000,150.07170000,149.60780000,150.10220000
