Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51267106,149.62610000,150.36470000,149.63220000,150.10830000
-0.50867106,149.51020000,149.81540000,149.87640000,149.78480000
-0.50467106,149.51630000,149.45520000,150.09000000,149.59560000
-0.50067106,149.67500000,149.30270000,150.25480000,149.52850000
-0.49667106,149.60780000,149.40640000,150.27930000,149.67500000
-0.49267106,149.31480000,149.78480000,150.15720000,150.02290000
-0.48867106,149.41860000,149.87030000,150.04120000,150.25480000
-0.48467106,149.90690000,149.64450000,149.93130000,150.32810000
-0.48067106,150.17550000,149.63220000,149.87640000,150.41350000
-0.47667106,150.19990000,149.82150000,149.87640000,150.50510000
-0.47267106,150.16330000,149.93740000,149.94960000,150.32810000
-0.46867106,150.06560000,149.98630000,150.11440000,149.91910000
-0.46467106,149.88860000,149.98020000,149.93740000,149.69940000
-0.46067106,149.65670000,149.91300000,149.44910000,149.71770000
-0.45667106,149.57120000,149.91300000,149.26600000,149.51630000
-0.45267106,149.65060000,149.98020000,149.39420000,149.13170000
-0.44867106,149.72380000,149.98020000,149.63840000,149.15010000
-0.44467106,149.80310000,149.88860000,150.00460000,149.56510000
-0.44067106,149.71160000,149.97410000,150.05950000,149.91300000
-0.43667106,149.45520000,150.22430000,149.78480000,150.15720000
-0.43267106,149.38810000,150.29140000,149.66280000,150.35860000
-0.42867106,149.51020000,150.18770000,149.67500000,150.49290000
-0.42467106,149.66280000,149.94350000,149.73600000,150.30980000
-0.42067106,149.84590000,149.54680000,149.87030000,149.79700000
-0.41667106,149.87640000,149.66890000,149.86420000,149.71770000
-0.41267106,149.75430000,150.30980000,149.72990000,150.09610000
-0.40867106,149.60170000,150.49900000,149.69940000,150.07170000
-0.40467106,149.40030000,150.24870000,149.76040000,149.64450000
-0.40067106,149.49190000,149.90080000,149.82150000,149.66890000
-0.39667106,149.90080000,149.45520000,149.88250000,150.14500000
-0.39267106,149.92520000,149.58340000,149.87640000,150.21210000
-0.38867106,149.57120000,150.32810000,149.80930000,149.87030000
-0.38467106,149.55290000,150.38300000,149.80310000,149.74210000
-0.38067106,149.88860000,149.76040000,149.85200000,149.82760000
-0.37667106,149.65060000,149.63220000,149.97410000,149.89470000
-0.37267106,148.86320000,149.98630000,150.18770000,149.94350000
-0.36867106,148.79600000,150.11440000,150.05950000,150.00460000
-0.36467106,149.44910000,150.04730000,149.58340000,150.07780000
-0.36067106,149.78480000,149.92520000,149.61390000,149.99240000
-0.35667106,149.79700000,149.72990000,150.13890000,149.76040000
-0.35267106,149.74210000,149.74820000,150.29140000,149.57730000
-0.34867106,149.55900000,149.99850000,150.05950000,149.41250000
-0.34467106,149.76040000,149.82150000,149.99850000,149.68110000
-0.34067106,150.31590000,149.23550000,150.11440000,150.34640000
-0.33667106,150.52950000,149.17450000,149.98020000,150.63330000
-0.33267106,150.40740000,149.63220000,149.63220000,150.51120000
-0.32867106,150.10830000,149.85810000,149.40640000,150.44400000
-0.32467106,149.64450000,149.81540000,149.33320000,150.41350000
-0.32067106,149.44300000,150.09610000,149.25380000,150.29760000
-0.31667106,149.52240000,150.65770000,149.19280000,150.12670000
-0.31267106,149.67500000,150.73700000,149.21110000,150.05340000
-0.30867106,149.91910000,150.32810000,149.30870000,150.10830000
-0.30467107,149.99850000,150.16940000,149.51630000,149.93130000
