Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51154534,149.90690000,150.41960000,150.30980000,150.04120000
-0.50754534,150.05340000,150.84080000,149.57730000,149.99240000
-0.50354534,150.09000000,150.73090000,149.46130000,149.93740000
-0.49954534,150.02900000,150.09610000,149.96190000,149.86420000
-0.49554534,149.94960000,149.85810000,150.06560000,149.92520000
-0.49154534,149.85200000,150.02290000,149.77870000,150.12050000
-0.48754534,149.71160000,150.15720000,149.68720000,150.15110000
-0.48354534,149.54070000,150.27930000,149.77870000,150.00460000
-0.47954534,149.47970000,150.24870000,149.75430000,149.97410000
-0.47554534,149.52850000,150.06560000,149.62610000,150.04120000
-0.47154534,149.67500000,149.97410000,149.58950000,150.07170000
-0.46754534,149.90080000,149.98020000,149.63840000,150.05950000
-0.46354534,150.04730000,150.04120000,149.79700000,150.08390000
-0.45954534,150.09610000,150.16330000,150.08390000,150.12670000
-0.45554534,150.04730000,150.18160000,149.92520000,150.24260000
-0.45154534,149.90690000,150.09000000,149.32100000,150.43180000
-0.44754534,149.60780000,150.17550000,149.29650000,150.43180000
-0.44354534,149.15620000,150.43790000,149.84590000,150.26700000
-0.43954534,149.22940000,150.46240000,149.94350000,150.05950000
-0.43554534,149.82760000,150.26090000,149.59560000,149.83980000
-0.43154534,149.94350000,150.17550000,149.49800000,149.72990000
-0.42754534,149.56510000,150.21210000,149.63840000,149.73600000
-0.42354534,149.56510000,150.12670000,149.73600000,149.80310000
-0.41954534,149.93130000,149.91910000,149.82760000,149.90690000
-0.41554534,149.87640000,149.99240000,149.64450000,150.02290000
-0.41154534,149.40030000,150.36470000,149.19890000,150.11440000
-0.40754534,149.33930000,150.18770000,149.11340000,150.24260000
-0.40354534,149.68720000,149.46740000,149.37590000,150.40740000
-0.39954534,149.78480000,149.40640000,149.57730000,150.16940000
-0.39554534,149.62000000,150.01070000,149.71160000,149.54070000
-0.39154534,149.61390000,150.18770000,149.88250000,149.36370000
-0.38754534,149.75430000,149.91910000,150.05340000,149.65670000
-0.38354534,149.77260000,150.02900000,150.09000000,149.80310000
-0.37954534,149.65060000,150.49290000,149.99240000,149.82150000
-0.37554534,149.84590000,150.51730000,149.72990000,149.96190000
-0.37154534,150.30980000,150.09610000,149.32100000,150.23040000
-0.36754534,150.60270000,150.07170000,149.15620000,150.16330000
-0.36354534,150.71870000,150.43790000,149.27210000,149.75430000
-0.35954534,150.56000000,150.38910000,149.24160000,149.72380000
-0.35554534,150.13280000,149.94350000,149.05240000,150.05950000
-0.35154534,149.97410000,149.76040000,149.28430000,150.18160000
-0.34754534,150.12050000,149.82760000,149.90690000,150.07780000
-0.34354534,149.91910000,150.00460000,150.09610000,150.10220000
-0.33954534,149.41860000,150.29140000,149.82760000,150.23040000
-0.33554534,149.33320000,150.43790000,149.90080000,150.26700000
-0.33154534,149.68720000,150.41960000,150.28530000,150.20600000
-0.32754534,149.78480000,150.35250000,150.38910000,150.12050000
-0.32354534,149.62000000,150.24260000,150.23650000,150.01680000
-0.31954534,149.61390000,150.15110000,149.88250000,149.93130000
-0.31554534,149.75430000,150.08390000,149.35760000,149.88250000
-0.31154534,149.77260000,150.18160000,149.15010000,149.85200000
-0.30754534,149.66890000,150.45010000,149.26600000,149.84590000
-0.30354534,149.80930000,150.42570000,149.60170000,149.90690000
