Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51021709,150.10220000,149.91300000,149.77870000,149.99850000
-0.50621709,149.91300000,149.75430000,150.54780000,149.82760000
-0.50221709,149.98020000,150.02290000,150.50510000,149.71770000
-0.49821709,150.30980000,150.70650000,149.63220000,149.66890000
-0.49421709,150.01680000,150.85910000,149.42470000,149.67500000
-0.49021709,149.11340000,150.46850000,149.87640000,149.74820000
-0.48621709,148.96690000,150.17550000,149.94350000,149.74820000
-0.48221709,149.57120000,149.99850000,149.62000000,149.68720000
-0.47821709,149.87640000,149.78480000,149.73600000,149.65060000
-0.47421709,149.86420000,149.57730000,150.24870000,149.63220000
-0.47021709,149.93740000,149.46130000,150.37690000,149.74210000
-0.46621709,150.05950000,149.46130000,150.10830000,149.96800000
-0.46221709,150.09000000,149.57120000,149.90080000,150.13890000
-0.45821709,150.04730000,149.77260000,149.75430000,150.23040000
-0.45421709,149.90690000,150.03510000,149.64450000,150.29140000
-0.45021709,149.70550000,150.32810000,149.57120000,150.31590000
-0.44621709,149.43690000,150.35250000,149.69940000,150.13280000
-0.44221709,149.13170000,150.12050000,150.03510000,149.76040000
-0.43821709,149.18060000,149.87640000,150.00460000,149.70550000
-0.43421709,149.57120000,149.63840000,149.60780000,149.98020000
-0.43021709,150.04730000,149.66280000,149.48580000,150.07780000
-0.42621709,150.58440000,149.96190000,149.63220000,150.01070000
-0.42221709,150.56610000,150.20600000,149.72380000,149.91910000
-0.41821709,149.95570000,150.38300000,149.73600000,149.80930000
-0.41421709,149.83370000,150.28530000,149.91300000,149.72380000
-0.41021709,150.20600000,149.89470000,150.24870000,149.66280000
-0.40621709,150.25480000,149.83980000,150.18770000,149.68720000
-0.40221709,150.02290000,150.10830000,149.75430000,149.78480000
-0.39821709,149.72380000,150.19990000,149.50410000,149.98630000
-0.39421709,149.36980000,150.12050000,149.44300000,150.29140000
-0.39021709,149.35150000,150.09610000,149.65670000,150.34640000
-0.38621709,149.72380000,150.12670000,150.13890000,150.15110000
-0.38221709,149.68720000,150.01070000,150.34030000,149.99850000
-0.37821709,149.23550000,149.76650000,150.24870000,149.89470000
-0.37421709,149.36980000,149.68110000,150.12670000,149.87640000
-0.37021709,150.07170000,149.75430000,149.96190000,149.97410000
-0.36621709,150.32200000,149.84590000,149.84590000,149.87640000
-0.36221709,150.11440000,149.94960000,149.79100000,149.57120000
-0.35821709,149.82760000,150.02900000,149.83370000,149.74820000
-0.35421709,149.42470000,150.06560000,149.99240000,150.39520000
-0.35021709,149.57730000,150.15110000,149.88250000,150.53560000
-0.34621709,150.30360000,150.27930000,149.51630000,150.16940000
-0.34221709,150.43180000,150.24870000,149.33930000,150.07170000
-0.33821709,149.96190000,150.07170000,149.35760000,150.22430000
-0.33421709,149.71160000,149.95570000,149.44300000,150.26700000
-0.33021709,149.65670000,149.91910000,149.60170000,150.21820000
-0.32621709,149.81540000,149.85810000,149.79700000,150.09000000
-0.32221709,150.19990000,149.77870000,150.01680000,149.89470000
-0.31821709,150.23040000,149.89470000,150.13280000,149.93740000
-0.31421709,149.89470000,150.20600000,150.13890000,150.22430000
-0.31021709,149.77260000,150.29140000,149.98630000,150.16940000
-0.30621709,149.83980000,150.13280000,149.66280000,149.79700000
-0.30221709,149.96190000,150.13280000,149.63220000,149.61390000
