Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51242318,150.16330000,149.87640000,149.87030000,149.79700000
-0.50842318,150.20600000,149.79100000,149.98630000,150.15110000
-0.50442318,150.13890000,149.87030000,149.91300000,150.29140000
-0.50042318,149.96800000,150.10830000,149.63840000,150.20600000
-0.49642318,149.81540000,150.23040000,149.66890000,150.13890000
-0.49242318,149.68720000,150.24260000,149.99240000,150.07170000
-0.48842318,149.78480000,150.05950000,150.11440000,150.09610000
-0.48442318,150.10830000,149.68110000,150.02900000,150.21820000
-0.48042318,150.16330000,149.65060000,149.96190000,150.30980000
-0.47642318,149.94350000,149.96800000,149.88860000,150.38910000
-0.47242318,149.91300000,150.18160000,149.94960000,150.26090000
-0.46842318,150.05950000,150.29760000,150.12050000,149.91300000
-0.46442318,150.06560000,150.19990000,150.24870000,150.00460000
-0.46042318,149.94350000,149.85200000,150.32200000,150.54780000
-0.45642318,149.85200000,149.90690000,150.17550000,150.59050000
-0.45242318,149.79100000,150.34030000,149.81540000,150.16330000
-0.44842318,149.82760000,150.56610000,149.67500000,149.80310000
-0.44442318,149.94960000,150.57220000,149.77870000,149.51630000
-0.44042318,150.01070000,150.65160000,149.75430000,149.53460000
-0.43642318,150.02290000,150.79190000,149.63220000,149.87640000
-0.43242318,149.90080000,150.71260000,149.57730000,149.93740000
-0.42842318,149.63220000,150.41350000,149.60780000,149.71770000
-0.42442318,149.66280000,150.23650000,149.51630000,149.68720000
-0.42042318,149.98630000,150.19990000,149.28430000,149.83370000
-0.41642318,150.11440000,150.21820000,149.45520000,149.83370000
-0.41242318,150.06560000,150.32200000,150.01070000,149.67500000
-0.40842318,149.85200000,150.17550000,150.24870000,149.72380000
-0.40442318,149.46740000,149.79700000,150.15720000,149.92520000
-0.40042318,149.44910000,149.71770000,149.99240000,150.25480000
-0.39642318,149.80310000,149.94350000,149.69940000,150.70040000
-0.39242318,149.83980000,149.96800000,149.88860000,150.63940000
-0.38842318,149.55290000,149.79100000,150.55390000,150.07780000
-0.38442318,149.51020000,149.93130000,150.59050000,149.74820000
-0.38042318,149.66890000,150.37690000,150.01070000,149.66280000
-0.37642318,149.96190000,150.46850000,149.67500000,149.74210000
-0.37242318,150.35860000,150.21210000,149.58340000,150.01680000
-0.36842318,150.53560000,149.99850000,149.69330000,149.98020000
-0.36442318,150.46850000,149.82150000,150.04730000,149.63220000
-0.36042318,150.26090000,149.86420000,149.96190000,149.63840000
-0.35642318,149.90080000,150.13890000,149.43690000,150.01070000
-0.35242318,149.79100000,150.13280000,149.32100000,149.92520000
-0.34842318,149.94350000,149.84590000,149.61390000,149.38810000
-0.34442318,150.00460000,149.88250000,149.68110000,149.33930000
-0.34042318,149.98630000,150.22430000,149.53460000,149.78480000
-0.33642318,150.01680000,150.23040000,149.50410000,149.72380000
-0.33242318,150.08390000,149.90690000,149.59560000,149.16230000
-0.32842318,150.05340000,149.74820000,149.51020000,149.21720000
-0.32442318,149.90690000,149.74820000,149.24770000,149.88860000
-0.32042318,149.94350000,149.93740000,149.20500000,150.00460000
-0.31642318,150.15110000,150.34640000,149.35760000,149.54070000
-0.31242318,150.15110000,150.21210000,149.71160000,149.59560000
-0.30842318,149.95570000,149.52240000,150.27310000,150.13280000
-0.30442318,149.87640000,149.57120000,150.29140000,150.18770000
