Time,Channel A,Channel B,Channel C,Channel D
(us),(mV),(mV),(mV),(mV)

-0.51593338,149.99240000,150.65160000,149.55900000,150.29140000
-0.51193338,149.98630000,150.00460000,149.61390000,150.31590000
-0.50793338,150.02290000,149.76040000,149.85810000,150.13890000
-0.50393338,150.11440000,149.92520000,150.30360000,149.77260000
-0.49993338,149.96800000,150.05950000,150.29760000,149.66890000
-0.49593338,149.58950000,150.18770000,149.83980000,149.86420000
-0.49193338,149.49800000,150.12050000,149.66280000,149.72380000
-0.48793338,149.69940000,149.85810000,149.76650000,149.27820000
-0.48393338,149.87640000,149.83980000,149.77870000,149.19890000
-0.47993338,150.02290000,150.07170000,149.71770000,149.51020000
-0.47593338,150.13280000,149.98630000,149.68110000,149.44910000
-0.47193338,150.18160000,149.60780000,149.65670000,149.00970000
-0.46793338,150.18160000,149.52240000,149.80930000,149.11950000
-0.46393338,150.11440000,149.76040000,150.13280000,149.74210000
-0.45993338,150.08390000,149.69330000,150.09610000,150.07170000
-0.45593338,150.09610000,149.29650000,149.69330000,150.09610000
-0.45193338,150.07780000,149.58340000,149.63840000,149.95570000
-0.44793338,150.04730000,150.52950000,149.93740000,149.62000000
-0.44393338,149.86420000,150.75530000,149.91300000,149.65670000
-0.43993338,149.52240000,150.24260000,149.56510000,150.07170000
-0.43593338,149.64450000,150.11440000,149.56510000,150.10830000
-0.43193338,150.23650000,150.36470000,149.91300000,149.78480000
-0.42793338,150.35860000,150.29140000,149.94350000,149.60780000
-0.42393338,150.02290000,149.91910000,149.67500000,149.58950000
-0.41993338,149.80930000,149.77260000,149.58950000,149.50410000
-0.41593338,149.72380000,149.85810000,149.71770000,149.37590000
-0.41193338,149.67500000,149.92520000,149.53460000,149.40030000
-0.40793338,149.68720000,149.99850000,149.04020000,149.58340000
-0.40393338,149.69330000,149.94350000,149.21720000,149.72380000
-0.39993338,149.72990000,149.74820000,150.07170000,149.80310000
-0.39593338,149.54680000,149.69330000,150.21820000,149.94350000
-0.39193338,149.14400000,149.77260000,149.64450000,150.11440000
-0.38793338,149.23550000,149.80310000,149.53460000,150.16940000
-0.38393338,149.82150000,149.79700000,149.87640000,150.09610000
-0.37993338,149.96800000,149.79100000,150.03510000,150.03510000
-0.37593338,149.64450000,149.76650000,150.01680000,149.96190000
-0.37193338,149.65060000,149.87640000,149.94350000,150.02290000
-0.36793338,149.94960000,150.08390000,149.80930000,150.18770000
-0.36393338,150.22430000,150.31590000,149.84590000,150.34030000
-0.35993338,150.49290000,150.57220000,150.05950000,150.47450000
-0.35593338,150.30980000,150.48070000,150.03510000,150.36470000
-0.35193338,149.66890000,150.04120000,149.77870000,150.01680000
-0.34793338,149.49800000,149.85810000,149.66280000,149.74820000
-0.34393338,149.79700000,149.93130000,149.69330000,149.57730000
-0.33993338,149.90690000,150.10830000,149.65670000,149.64450000
-0.33593338,149.84590000,150.39520000,149.52850000,149.96190000
-0.33193338,149.70550000,150.54170000,149.82760000,150.09000000
-0.32793338,149.48580000,150.52340000,150.54170000,150.01680000
-0.32393338,149.27820000,150.47450000,150.58440000,149.89470000
-0.31993338,149.07070000,150.41350000,149.96190000,149.71160000
-0.31593338,149.25380000,150.05340000,149.47970000,149.68110000
-0.31193338,149.82760000,149.41250000,149.13780000,149.80930000
-0.30793339,149.96800000,149.47360000,149.20500000,149.89470000
